problema,n,k,algoritmo,status,synthesis_time_ms,max_memory_mb,expanded_states,used_states,expanded_transitions,used_transitions,heuristic_time_ms
AT,1,9,PORController,OK,96,11.08,14,6,24,8,0
AT,1,9,PORGeneralizedController,OK,39,14.41,14,6,24,8,0
AT,1,10,MonolithicController,OK,4,9.59,15,15,26,17,0
AT,1,10,DirectedController,OK,70,16.55,6,6,8,8,3
AT,1,10,PORController,OK,109,14.61,15,6,26,8,0
AT,1,10,PORGeneralizedController,OK,43,15.8,15,6,26,8,0
AT,2,5,MonolithicController,OK,10,11.15,92,73,229,113,0
AT,2,5,DirectedController,OK,131,18.81,23,23,33,33,15
AT,2,5,PORController,OK,116,9.45,103,29,237,48,0
AT,2,5,PORGeneralizedController,OK,65,15.79,56,27,124,45,0
AT,2,6,MonolithicController,OK,11,11.45,112,91,291,137,0
AT,2,6,DirectedController,OK,143,19.69,23,23,33,33,14
AT,2,6,PORController,OK,137,12.79,124,35,299,57,0
AT,2,6,PORGeneralizedController,OK,65,18.08,67,27,155,45,0
AT,2,7,MonolithicController,OK,10,11.88,134,111,361,163,0
AT,2,7,DirectedController,OK,162,20.25,23,23,33,33,15
AT,2,7,PORController,OK,167,18.48,147,37,369,60,0
AT,2,7,PORGeneralizedController,OK,74,21.25,79,27,190,45,0
AT,2,8,MonolithicController,OK,23,12.19,158,133,439,191,0
AT,2,8,DirectedController,OK,165,21.09,23,23,33,33,13
AT,2,8,PORController,OK,224,25.23,172,37,447,60,0
AT,2,8,PORGeneralizedController,OK,92,12.77,92,27,229,45,0
AT,2,9,MonolithicController,OK,27,12.71,184,157,525,221,0
AT,2,9,DirectedController,OK,181,10.42,23,23,33,33,12
AT,2,9,PORController,OK,259,37.13,199,37,533,60,0
AT,2,9,PORGeneralizedController,OK,114,18.76,106,27,272,45,0
AT,2,10,MonolithicController,OK,20,13.31,212,183,619,253,0
AT,2,10,DirectedController,OK,218,11.35,23,23,33,33,19
AT,2,10,PORController,OK,345,52.33,228,43,627,69,0
AT,2,10,PORGeneralizedController,OK,111,14.63,121,27,319,45,0
AT,3,5,MonolithicController,OK,80,16.89,916,513,3037,949,0
AT,3,5,DirectedController,OK,404,21.88,99,99,142,142,34
AT,3,5,PORController,OK,315,25.57,1179,214,3520,404,0
AT,3,5,PORGeneralizedController,OK,188,13.86,304,204,816,382,0
AT,3,6,MonolithicController,OK,66,19.99,1240,729,4321,1303,0
AT,3,6,DirectedController,OK,463,25.48,99,99,142,142,35
AT,3,6,PORController,OK,395,43.11,1566,298,4933,560,0
AT,3,6,PORGeneralizedController,OK,169,15.97,392,330,1108,640,0
AT,3,7,MonolithicController,OK,95,26.0,1630,999,5923,1729,0
AT,3,7,DirectedController,OK,471,28.95,99,99,142,142,32
AT,3,7,PORController,OK,454,57.03,2025,350,6676,645,0
AT,3,7,PORGeneralizedController,OK,291,41.88,500,381,1466,739,0
